13 %, 848 MiB
13 %, 848 MiB
13 %, 848 MiB
16 %, 848 MiB
16 %, 848 MiB
46 %, 1239 MiB
79 %, 1262 MiB
81 %, 1262 MiB
80 %, 1262 MiB
81 %, 1262 MiB
83 %, 1262 MiB
78 %, 1262 MiB
80 %, 1262 MiB
76 %, 1260 MiB
82 %, 1260 MiB
83 %, 1276 MiB
77 %, 1326 MiB
81 %, 1326 MiB
88 %, 1326 MiB
80 %, 1354 MiB
88 %, 1354 MiB
76 %, 1354 MiB
86 %, 1374 MiB
80 %, 1434 MiB
80 %, 1456 MiB
81 %, 1456 MiB
77 %, 1456 MiB
81 %, 1456 MiB
80 %, 1456 MiB
74 %, 1456 MiB
87 %, 1456 MiB
83 %, 1456 MiB
86 %, 1456 MiB
87 %, 1456 MiB
87 %, 1456 MiB
81 %, 1468 MiB
79 %, 1468 MiB
80 %, 1480 MiB
89 %, 1516 MiB
83 %, 1516 MiB
83 %, 1516 MiB
88 %, 1516 MiB
88 %, 1516 MiB
84 %, 1516 MiB
87 %, 1516 MiB
77 %, 1516 MiB
84 %, 1516 MiB
81 %, 1516 MiB
79 %, 1516 MiB
81 %, 1516 MiB
75 %, 1516 MiB
73 %, 1516 MiB
73 %, 1516 MiB
72 %, 1516 MiB
70 %, 1516 MiB
73 %, 1516 MiB
79 %, 1516 MiB
80 %, 1516 MiB
82 %, 1516 MiB
81 %, 1516 MiB
76 %, 1516 MiB
75 %, 1516 MiB
81 %, 1516 MiB
82 %, 1516 MiB
80 %, 1516 MiB
81 %, 1516 MiB
81 %, 1516 MiB
76 %, 1516 MiB
81 %, 1516 MiB
80 %, 1516 MiB
79 %, 1516 MiB
78 %, 1516 MiB
77 %, 1516 MiB
77 %, 1516 MiB
80 %, 1516 MiB
77 %, 1516 MiB
74 %, 1516 MiB
81 %, 1516 MiB
82 %, 1535 MiB
80 %, 1540 MiB
82 %, 1555 MiB
74 %, 1555 MiB
80 %, 1549 MiB
84 %, 1549 MiB
80 %, 1532 MiB
83 %, 1530 MiB
81 %, 1529 MiB
82 %, 1529 MiB
80 %, 1529 MiB
85 %, 1529 MiB
76 %, 1529 MiB
78 %, 1529 MiB
79 %, 1529 MiB
77 %, 1529 MiB
75 %, 1529 MiB
80 %, 1529 MiB
79 %, 1531 MiB
80 %, 1531 MiB
77 %, 1531 MiB
76 %, 1531 MiB
83 %, 1531 MiB
80 %, 1531 MiB
79 %, 1531 MiB
81 %, 1531 MiB
79 %, 1531 MiB
82 %, 1531 MiB
80 %, 1531 MiB
73 %, 1531 MiB
75 %, 1531 MiB
75 %, 1531 MiB
76 %, 1531 MiB
81 %, 1531 MiB
77 %, 1531 MiB
76 %, 1531 MiB
75 %, 1531 MiB
81 %, 1531 MiB
80 %, 1531 MiB
83 %, 1531 MiB
77 %, 1531 MiB
79 %, 1531 MiB
79 %, 1531 MiB
86 %, 1531 MiB
81 %, 1531 MiB
79 %, 1531 MiB
81 %, 1531 MiB
78 %, 1531 MiB
81 %, 1531 MiB
80 %, 1531 MiB
87 %, 1531 MiB
79 %, 1531 MiB
79 %, 1531 MiB
82 %, 1531 MiB
82 %, 1531 MiB
77 %, 1531 MiB
80 %, 1531 MiB
76 %, 1531 MiB
79 %, 1531 MiB
78 %, 1531 MiB
77 %, 1531 MiB
76 %, 1531 MiB
75 %, 1531 MiB
77 %, 1527 MiB
78 %, 1527 MiB
84 %, 1527 MiB
81 %, 1527 MiB
81 %, 1527 MiB
79 %, 1527 MiB
75 %, 1527 MiB
52 %, 1527 MiB
50 %, 1527 MiB
53 %, 1528 MiB
18 %, 1553 MiB
13 %, 1551 MiB
13 %, 1551 MiB
