timestamp,frontend_ms,extraction_ms,matching_ms,estimation_ms
1403715886.634058,6.747774,5.806361,0.941413,0.109970
1403715886.734058,1.735697,0.000341,1.735356,0.135408
1403715886.834058,1.812622,0.000420,1.812202,0.194331
1403715886.934058,1.726509,0.000661,1.725848,0.076125
1403715887.034058,1.783518,0.000331,1.783187,0.137301
1403715887.134058,0.949137,0.000320,0.948817,0.166107
1403715887.234058,1.795671,0.000521,1.795150,0.065434
1403715887.334058,5.356836,0.000461,5.356375,0.060586
1403715887.434058,1.725388,0.000682,1.724706,0.202496
1403715887.534058,1.910169,0.000792,1.909377,0.067889
1403715887.634058,1.884911,0.000801,1.884110,0.718178
1403715887.734058,1.757258,0.000722,1.756536,0.163671
1403715887.834058,1.825318,0.000351,1.824967,0.606005
1403715887.934058,3.318363,0.000722,3.317641,0.176336
1403715888.034058,1.878168,0.000331,1.877837,0.387128
1403715888.134058,1.821019,0.000421,1.820598,0.397147
1403715888.234058,1.801291,0.000651,1.800640,0.572080
1403715888.334058,1.682686,0.000301,1.682385,0.674354
1403715888.434058,1.151894,0.000240,1.151654,0.577340
1403715888.534058,1.921731,0.000351,1.921380,0.416865
1403715888.634058,3.729386,0.000411,3.728975,0.168912
1403715888.734058,1.228952,0.000351,1.228601,0.709672
1403715888.834058,1.897345,0.000341,1.897004,0.394742
1403715888.934058,1.174738,0.000581,1.174157,0.360928
1403715889.034058,1.873008,0.000752,1.872256,0.483541
1403715889.134058,2.734239,0.000341,2.733898,0.171948
1403715889.234058,1.032266,0.000250,1.032016,0.428015
1403715889.334058,2.472761,0.000351,2.472410,0.370135
1403715889.434058,1.740457,0.000682,1.739775,0.170114
1403715889.534058,1.641176,0.000330,1.640846,1.066552
1403715889.634058,1.793387,0.000712,1.792675,0.343404
1403715889.734058,0.817006,0.000230,0.816776,0.368372
1403715889.834058,0.805786,0.000221,0.805565,0.854247
1403715889.934058,1.793737,0.000461,1.793276,0.341621
1403715890.034058,0.997740,0.000240,0.997500,0.438184
1403715890.134058,1.809157,0.000391,1.808766,0.172408
1403715890.234058,1.523944,0.000411,1.523533,0.758155
1403715890.334058,1.798505,0.000350,1.798155,0.768524
1403715890.434058,1.463618,0.000581,1.463037,0.239286
1403715890.534058,1.870134,0.000702,1.869432,0.623899
1403715890.634058,1.194376,0.000772,1.193604,0.183720
1403715890.734058,1.371001,0.000360,1.370641,0.567692
1403715890.834058,2.011642,0.000701,2.010941,0.675497
1403715890.934058,1.391060,0.000360,1.390700,0.170264
1403715891.034058,1.193534,0.000662,1.192872,0.384623
1403715891.134058,1.722051,0.000351,1.721700,0.163792
1403715891.234058,1.069758,0.000301,1.069457,0.433516
1403715891.334058,0.946283,0.000371,0.945912,0.391476
1403715891.434058,1.705049,0.000672,1.704377,0.282568
1403715891.534058,1.950725,0.000420,1.950305,0.772913
1403715891.634058,0.952274,0.000230,0.952044,0.175685
1403715891.734058,0.876570,0.000581,0.875989,0.400604
1403715891.834058,9.395569,7.268207,2.127362,0.382840
1403715891.934058,1.061773,0.000231,1.061542,0.250817
1403715892.034058,1.924457,0.000972,1.923485,0.752343
1403715892.134058,1.637019,0.000411,1.636608,0.354645
1403715892.234058,14.049585,11.875053,2.174532,0.537414
1403715892.334058,2.050385,0.000330,2.050055,0.527114
1403715892.434058,1.914136,0.000340,1.913796,0.339086
1403715892.534058,2.339057,0.000311,2.338746,0.414059
1403715892.634058,1.993218,0.000311,1.992907,0.271467
1403715892.734058,1.891954,0.000340,1.891614,0.472801
1403715892.834058,2.293519,0.000451,2.293068,0.364685
1403715892.934058,1.700249,0.001373,1.698876,0.178019
1403715893.034058,9.945495,8.556429,1.389066,0.506996
1403715893.134058,0.862913,0.000230,0.862683,0.172278
1403715893.234058,10.741775,8.583032,2.158743,0.564736
1403715893.334058,1.545724,0.000310,1.545414,0.373602
